id,segment,job,started,uploaded,completed,selected,willingToSalon,willingToPay,identity,latency,pain,desired
"R3-1","近期剪发","找到适合自己的发型","true","true","true","true","false","false","3.5","740","人物一致性不足","原图与结果滑动对比"
"R3-2","近期剪发","找到适合自己的发型","true","true","true","true","true","false","3.7","718","缺少现实可实现说明","显示可信度"
"R3-3","近期剪发","找到适合自己的发型","true","true","false","false","false","false","3.9","0","担心人脸数据","让发型师二次确认"
"R3-4","近期剪发","剪前确认效果","true","true","true","true","true","false","3.3","718","人物一致性不足","让发型师二次确认"
"R3-5","近期剪发","剪前确认效果","true","true","true","true","true","false","3.7","718","人物一致性不足","多角度预览"
"R3-6","近期剪发","找到适合自己的发型","true","true","false","false","false","false","3.5","0","担心人脸数据","原图与结果滑动对比"
"R3-7","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.4","718","人物一致性不足","让发型师二次确认"
"R3-8","近期剪发","剪前确认效果","true","true","true","false","false","false","3.6","718","人物一致性不足","显示可信度"
"R3-9","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.2","718","人物一致性不足","显示可信度"
"R3-10","近期剪发","剪前确认效果","true","true","true","false","false","false","3.9","718","结果仍像参考而非承诺","让发型师二次确认"
"R3-11","近期剪发","找到适合自己的发型","true","true","true","false","false","false","4.1","706","不知道下一步怎么带到店","让发型师二次确认"
"R3-12","近期剪发","剪前确认效果","true","true","true","false","false","false","3.4","706","人物一致性不足","让发型师二次确认"
"R3-13","近期剪发","剪前确认效果","true","true","true","false","false","false","3.6","707","人物一致性不足","不满意时局部调整"
"R3-14","近期剪发","剪前确认效果","true","true","true","true","true","false","3.5","708","人物一致性不足","多角度预览"
"R3-15","近期剪发","剪前确认效果","true","true","true","true","true","false","3.8","708","结果仍像参考而非承诺","多角度预览"
"R3-16","近期剪发","剪前确认效果","true","true","true","false","false","false","3.6","708","人物一致性不足","不满意时局部调整"
"R3-17","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.4","709","人物一致性不足","不满意时局部调整"
"R3-18","近期剪发","剪前确认效果","true","true","true","true","true","false","3.3","709","人物一致性不足","不满意时局部调整"
"R3-19","近期剪发","找到适合自己的发型","true","true","true","true","true","false","3.4","709","人物一致性不足","多角度预览"
"R3-20","近期剪发","剪前确认效果","true","true","true","false","false","false","3.4","709","人物一致性不足","多角度预览"
"R3-21","近期剪发","剪前确认效果","true","true","true","false","false","false","3.4","706","人物一致性不足","多角度预览"
"R3-22","近期剪发","剪前确认效果","true","true","true","false","false","false","3.4","706","人物一致性不足","让发型师二次确认"
"R3-23","近期剪发","剪前确认效果","true","true","true","false","false","false","3.3","707","人物一致性不足","显示可信度"
"R3-24","近期剪发","剪前确认效果","true","true","false","false","false","false","3.8","0","不知道下一步怎么带到店","不满意时局部调整"
"R3-25","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.3","707","人物一致性不足","让发型师二次确认"
"R3-26","近期剪发","剪前确认效果","true","true","true","true","true","false","4.1","708","缺少现实可实现说明","原图与结果滑动对比"
"R3-27","近期剪发","找到适合自己的发型","true","true","true","true","true","false","3.3","708","人物一致性不足","多角度预览"
"R3-28","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.9","708","无法微调不满意的部分","多角度预览"
"R3-29","近期剪发","剪前确认效果","true","true","true","true","true","false","4.0","708","无法微调不满意的部分","原图与结果滑动对比"
"R3-30","近期剪发","剪前确认效果","true","true","true","false","false","false","3.3","710","人物一致性不足","显示可信度"
"R3-31","谨慎决策","和发型师说清需求","false","false","false","false","false","false","3.3","0","没有立即看懂价值","让发型师二次确认"
"R3-32","谨慎决策","降低剪坏风险","false","false","false","false","false","false","3.7","0","没有立即看懂价值","显示可信度"
"R3-33","谨慎决策","和发型师说清需求","true","false","false","false","false","false","3.9","0","没有合适照片或不想上传","原图与结果滑动对比"
"R3-34","谨慎决策","和发型师说清需求","true","true","true","true","false","false","4.0","704","结果仍像参考而非承诺","不满意时局部调整"
"R3-35","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.6","704","人物一致性不足","显示可信度"
"R3-36","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.5","704","人物一致性不足","多角度预览"
"R3-37","谨慎决策","降低剪坏风险","false","false","false","false","false","false","3.3","0","没有立即看懂价值","显示可信度"
"R3-38","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.5","704","人物一致性不足","让发型师二次确认"
"R3-39","谨慎决策","降低剪坏风险","true","true","true","true","false","false","3.9","704","无法微调不满意的部分","显示可信度"
"R3-40","谨慎决策","和发型师说清需求","true","true","true","true","true","false","3.8","704","结果仍像参考而非承诺","显示可信度"
"R3-41","谨慎决策","和发型师说清需求","false","false","false","false","false","false","3.5","0","没有立即看懂价值","多角度预览"
"R3-42","谨慎决策","降低剪坏风险","true","true","false","false","false","false","3.8","0","担心人脸数据","多角度预览"
"R3-43","谨慎决策","降低剪坏风险","true","true","true","true","false","false","3.7","703","人物一致性不足","让发型师二次确认"
"R3-44","谨慎决策","降低剪坏风险","true","true","true","true","false","false","3.4","703","人物一致性不足","原图与结果滑动对比"
"R3-45","谨慎决策","和发型师说清需求","true","true","true","true","true","false","4.0","703","缺少现实可实现说明","多角度预览"
"R3-46","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.7","703","人物一致性不足","多角度预览"
"R3-47","谨慎决策","降低剪坏风险","false","false","false","false","false","false","3.3","0","没有立即看懂价值","让发型师二次确认"
"R3-48","谨慎决策","降低剪坏风险","true","true","true","false","false","false","3.4","705","人物一致性不足","原图与结果滑动对比"
"R3-49","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.8","705","无法微调不满意的部分","显示可信度"
"R3-50","谨慎决策","和发型师说清需求","true","true","true","true","false","true","4.1","705","结果仍像参考而非承诺","不满意时局部调整"
"R3-51","谨慎决策","降低剪坏风险","true","true","true","false","false","false","3.6","703","人物一致性不足","让发型师二次确认"
"R3-52","谨慎决策","和发型师说清需求","true","true","false","false","false","false","3.6","0","担心人脸数据","显示可信度"
"R3-53","低维护","找到好打理的发型","true","true","true","false","false","false","4.1","703","缺少现实可实现说明","多角度预览"
"R3-54","低维护","确认日常维护成本","false","false","false","false","false","false","3.7","0","没有立即看懂价值","让发型师二次确认"
"R3-55","低维护","找到好打理的发型","true","true","true","true","true","false","3.4","703","人物一致性不足","让发型师二次确认"
"R3-56","低维护","确认日常维护成本","true","true","true","false","false","false","3.5","703","人物一致性不足","让发型师二次确认"
"R3-57","低维护","确认日常维护成本","true","true","true","true","true","false","4.0","703","缺少现实可实现说明","不满意时局部调整"
"R3-58","低维护","找到好打理的发型","true","true","false","false","false","false","3.6","0","担心人脸数据","显示可信度"
"R3-59","低维护","确认日常维护成本","true","true","false","false","false","false","4.0","0","担心人脸数据","不满意时局部调整"
"R3-60","低维护","找到好打理的发型","true","true","true","true","true","false","3.5","704","人物一致性不足","显示可信度"
"R3-61","低维护","确认日常维护成本","true","false","false","false","false","false","4.0","0","没有合适照片或不想上传","原图与结果滑动对比"
