id,segment,job,started,uploaded,completed,selected,willingToSalon,willingToPay,identity,latency,pain,desired
"R2-1","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.9","743","结果仍像参考而非承诺","标注剪烫染要求"
"R2-2","近期剪发","剪前确认效果","true","false","false","false","false","false","3.6","0","没有合适照片或不想上传","保存选中方案"
"R2-3","近期剪发","剪前确认效果","true","true","true","false","false","false","4.0","721","不知道下一步怎么带到店","保存选中方案"
"R2-4","近期剪发","找到适合自己的发型","true","true","true","true","true","false","3.8","721","结果仍像参考而非承诺","标注剪烫染要求"
"R2-5","近期剪发","剪前确认效果","true","true","true","true","true","false","3.4","721","人物一致性不足","标注剪烫染要求"
"R2-6","近期剪发","找到适合自己的发型","true","false","false","false","false","false","3.6","0","没有合适照片或不想上传","展示预计价格"
"R2-7","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.7","721","不知道下一步怎么带到店","生成发型师沟通卡"
"R2-8","近期剪发","剪前确认效果","true","true","true","true","true","false","4.0","721","无法微调不满意的部分","标注剪烫染要求"
"R2-9","近期剪发","找到适合自己的发型","true","false","false","false","false","false","3.9","0","没有合适照片或不想上传","展示预计价格"
"R2-10","近期剪发","找到适合自己的发型","true","true","true","true","true","false","3.6","721","人物一致性不足","生成发型师沟通卡"
"R2-11","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.3","707","人物一致性不足","展示预计价格"
"R2-12","近期剪发","剪前确认效果","true","true","true","false","false","false","4.0","708","无法微调不满意的部分","展示预计价格"
"R2-13","近期剪发","找到适合自己的发型","true","true","true","true","true","false","3.9","708","结果仍像参考而非承诺","展示预计价格"
"R2-14","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.4","708","人物一致性不足","展示预计价格"
"R2-15","近期剪发","找到适合自己的发型","true","true","true","true","true","false","3.9","709","结果仍像参考而非承诺","保存选中方案"
"R2-16","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.6","708","人物一致性不足","展示预计价格"
"R2-17","近期剪发","剪前确认效果","true","true","true","false","false","false","3.5","710","人物一致性不足","展示预计价格"
"R2-18","近期剪发","剪前确认效果","true","true","true","true","true","false","3.8","709","结果仍像参考而非承诺","保存选中方案"
"R2-19","近期剪发","找到适合自己的发型","true","true","true","false","false","false","4.0","711","不知道下一步怎么带到店","保存选中方案"
"R2-20","近期剪发","找到适合自己的发型","true","true","true","false","false","false","4.0","711","缺少现实可实现说明","展示预计价格"
"R2-21","近期剪发","剪前确认效果","true","true","true","true","true","false","3.5","705","人物一致性不足","保存选中方案"
"R2-22","近期剪发","找到适合自己的发型","true","true","true","false","false","false","4.0","705","结果仍像参考而非承诺","标注剪烫染要求"
"R2-23","近期剪发","剪前确认效果","true","true","true","true","true","false","3.5","706","人物一致性不足","标注剪烫染要求"
"R2-24","近期剪发","剪前确认效果","true","true","true","true","true","false","3.3","708","人物一致性不足","保存选中方案"
"R2-25","近期剪发","剪前确认效果","true","true","false","false","false","false","3.7","0","担心人脸数据","预约附近门店"
"R2-26","近期剪发","剪前确认效果","true","true","true","true","true","false","3.4","708","人物一致性不足","保存选中方案"
"R2-27","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.3","708","人物一致性不足","展示预计价格"
"R2-28","近期剪发","找到适合自己的发型","true","true","true","false","false","false","3.4","708","人物一致性不足","预约附近门店"
"R2-29","近期剪发","剪前确认效果","true","true","true","true","false","false","3.2","710","人物一致性不足","预约附近门店"
"R2-30","近期剪发","找到适合自己的发型","true","false","false","false","false","false","3.9","0","没有合适照片或不想上传","标注剪烫染要求"
"R2-31","谨慎决策","和发型师说清需求","true","true","true","true","false","false","3.8","704","无法微调不满意的部分","生成发型师沟通卡"
"R2-32","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.4","705","人物一致性不足","保存选中方案"
"R2-33","谨慎决策","和发型师说清需求","true","true","true","true","false","false","4.1","705","无法微调不满意的部分","生成发型师沟通卡"
"R2-34","谨慎决策","和发型师说清需求","true","true","true","true","true","true","4.0","706","缺少现实可实现说明","标注剪烫染要求"
"R2-35","谨慎决策","和发型师说清需求","true","true","true","false","false","false","4.0","706","缺少现实可实现说明","展示预计价格"
"R2-36","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.6","706","人物一致性不足","生成发型师沟通卡"
"R2-37","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.8","708","无法微调不满意的部分","展示预计价格"
"R2-38","谨慎决策","降低剪坏风险","true","true","true","false","false","false","3.8","708","缺少现实可实现说明","展示预计价格"
"R2-39","谨慎决策","降低剪坏风险","true","true","false","false","false","false","3.5","0","人物一致性不足","标注剪烫染要求"
"R2-40","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.4","708","人物一致性不足","展示预计价格"
"R2-41","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.5","705","人物一致性不足","标注剪烫染要求"
"R2-42","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.8","704","缺少现实可实现说明","展示预计价格"
"R2-43","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.6","706","人物一致性不足","生成发型师沟通卡"
"R2-44","谨慎决策","降低剪坏风险","true","true","true","true","true","false","3.5","706","人物一致性不足","标注剪烫染要求"
"R2-45","谨慎决策","降低剪坏风险","true","false","false","false","false","false","3.4","0","没有合适照片或不想上传","展示预计价格"
"R2-46","谨慎决策","和发型师说清需求","false","false","false","false","false","false","3.5","0","没有立即看懂价值","标注剪烫染要求"
"R2-47","谨慎决策","和发型师说清需求","true","false","false","false","false","false","3.6","0","没有合适照片或不想上传","展示预计价格"
"R2-48","谨慎决策","降低剪坏风险","true","true","true","false","false","false","3.8","707","无法微调不满意的部分","生成发型师沟通卡"
"R2-49","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.4","708","人物一致性不足","生成发型师沟通卡"
"R2-50","谨慎决策","和发型师说清需求","true","true","true","false","false","false","3.7","708","无法微调不满意的部分","展示预计价格"
"R2-51","谨慎决策","降低剪坏风险","true","true","false","false","false","false","3.5","0","担心人脸数据","展示预计价格"
"R2-52","谨慎决策","降低剪坏风险","false","false","false","false","false","false","3.4","0","没有立即看懂价值","展示预计价格"
"R2-53","低维护","找到好打理的发型","true","true","true","false","false","false","3.7","704","人物一致性不足","预约附近门店"
"R2-54","低维护","确认日常维护成本","true","true","true","false","false","false","3.5","705","人物一致性不足","预约附近门店"
"R2-55","低维护","找到好打理的发型","true","true","false","false","false","false","3.3","0","担心人脸数据","保存选中方案"
"R2-56","低维护","找到好打理的发型","true","true","true","true","true","false","3.8","705","无法微调不满意的部分","展示预计价格"
"R2-57","低维护","确认日常维护成本","true","true","true","true","false","false","3.9","707","结果仍像参考而非承诺","生成发型师沟通卡"
"R2-58","低维护","确认日常维护成本","true","true","true","true","false","false","3.2","707","人物一致性不足","生成发型师沟通卡"
"R2-59","低维护","确认日常维护成本","true","true","true","false","false","false","3.6","708","人物一致性不足","保存选中方案"
"R2-60","低维护","找到好打理的发型","true","true","true","true","true","false","3.2","708","人物一致性不足","标注剪烫染要求"
"R2-61","低维护","找到好打理的发型","true","false","false","false","false","false","3.4","0","没有合适照片或不想上传","保存选中方案"
"R2-62","低维护","确认日常维护成本","true","true","true","false","false","false","3.8","704","缺少现实可实现说明","展示预计价格"
"R2-63","低维护","确认日常维护成本","true","true","true","true","true","false","4.1","704","无法微调不满意的部分","保存选中方案"
"R2-64","低维护","找到好打理的发型","true","true","false","false","false","false","3.4","0","担心人脸数据","预约附近门店"
"R2-65","低维护","确认日常维护成本","true","true","true","true","true","false","3.6","705","人物一致性不足","生成发型师沟通卡"
"R2-66","低维护","找到好打理的发型","true","true","true","false","false","false","4.0","707","结果仍像参考而非承诺","生成发型师沟通卡"
"R2-67","低维护","确认日常维护成本","true","true","true","false","false","false","3.4","707","人物一致性不足","标注剪烫染要求"
"R2-68","低维护","找到好打理的发型","true","true","true","true","true","false","3.3","708","人物一致性不足","展示预计价格"
"R2-69","低维护","找到好打理的发型","true","true","false","false","false","false","4.1","0","缺少现实可实现说明","预约附近门店"
"R2-70","低维护","确认日常维护成本","true","true","true","true","true","false","3.2","709","人物一致性不足","标注剪烫染要求"
"R2-71","尝鲜分享","保存分享效果","false","false","false","false","false","false","3.3","0","没有立即看懂价值","生成发型师沟通卡"
"R2-72","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.7","703","人物一致性不足","保存选中方案"
"R2-73","尝鲜分享","保存分享效果","true","true","true","false","false","false","4.1","703","缺少现实可实现说明","保存选中方案"
"R2-74","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.9","704","不知道下一步怎么带到店","展示预计价格"
"R2-75","尝鲜分享","保存分享效果","true","true","false","false","false","false","3.2","0","担心人脸数据","预约附近门店"
"R2-76","尝鲜分享","保存分享效果","true","true","true","false","false","false","4.0","704","缺少现实可实现说明","展示预计价格"
"R2-77","尝鲜分享","保存分享效果","true","true","true","true","false","false","3.3","704","人物一致性不足","标注剪烫染要求"
"R2-78","尝鲜分享","尝试不同风格","true","true","true","true","false","false","3.7","704","人物一致性不足","标注剪烫染要求"
"R2-79","尝鲜分享","尝试不同风格","true","true","true","true","false","false","3.3","704","人物一致性不足","生成发型师沟通卡"
"R2-80","尝鲜分享","尝试不同风格","false","false","false","false","false","false","3.8","0","没有立即看懂价值","标注剪烫染要求"
"R2-81","尝鲜分享","尝试不同风格","false","false","false","false","false","false","3.6","0","没有立即看懂价值","标注剪烫染要求"
"R2-82","尝鲜分享","尝试不同风格","true","true","true","true","false","false","3.7","704","人物一致性不足","预约附近门店"
"R2-83","尝鲜分享","尝试不同风格","true","true","true","false","false","false","4.0","705","结果仍像参考而非承诺","生成发型师沟通卡"
"R2-84","尝鲜分享","保存分享效果","true","true","true","false","false","false","3.8","705","缺少现实可实现说明","展示预计价格"
"R2-85","尝鲜分享","尝试不同风格","true","true","true","true","true","false","4.1","706","不知道下一步怎么带到店","生成发型师沟通卡"
"R2-86","尝鲜分享","保存分享效果","false","false","false","false","false","false","3.7","0","没有立即看懂价值","生成发型师沟通卡"
"R2-87","隐私敏感","不泄露照片地预览","true","true","true","true","false","false","4.0","708","无法微调不满意的部分","预约附近门店"
"R2-88","隐私敏感","不泄露照片地预览","true","false","false","false","false","false","3.2","0","没有合适照片或不想上传","标注剪烫染要求"
"R2-89","隐私敏感","确认照片处理边界","false","false","false","false","false","false","3.4","0","没有立即看懂价值","展示预计价格"
"R2-90","隐私敏感","确认照片处理边界","true","true","false","false","false","false","3.7","0","担心人脸数据","展示预计价格"
"R2-91","隐私敏感","确认照片处理边界","true","false","false","false","false","false","4.0","0","没有合适照片或不想上传","展示预计价格"
"R2-92","隐私敏感","不泄露照片地预览","true","true","true","false","false","false","3.5","705","人物一致性不足","生成发型师沟通卡"
"R2-93","隐私敏感","不泄露照片地预览","true","true","true","true","true","false","3.7","705","人物一致性不足","保存选中方案"
"R2-94","隐私敏感","不泄露照片地预览","false","false","false","false","false","false","4.0","0","没有立即看懂价值","标注剪烫染要求"
"R2-95","隐私敏感","不泄露照片地预览","true","true","true","false","false","false","3.8","705","不知道下一步怎么带到店","标注剪烫染要求"
"R2-96","隐私敏感","不泄露照片地预览","true","true","true","true","true","false","3.6","707","人物一致性不足","生成发型师沟通卡"
