id,segment,audience,currentLength,targetLength,goal,chemical,dailyMinutes,stage,started,uploaded,consented,completed,selected,latencyMs,status,variants,feedback
"U001","明确换发需求者","neutral","short","short","volume","false","0","result","true","true","true","true","false","761","201","轻纹理短碎|自然侧分|柔和微卷","Mock叠加效果不像真实发型，无法据此做决定。"
"U002","明确换发需求者","neutral","medium","short","volume","true","20","result","true","true","true","true","true","738","201","轻纹理短碎|自然侧分|柔和微卷","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U003","明确换发需求者","feminine","medium","medium","fresh","false","0","result","true","true","true","true","false","739","201","柔和微卷|锁骨层次|中性轻狼尾","三个方案有区别，但缺少正面/侧面和细节对比。"
"U004","明确换发需求者","neutral","medium","medium","fresh","false","10","result","true","true","true","true","true","738","201","柔和微卷|中性轻狼尾|自然侧分","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U005","明确换发需求者","neutral","medium","medium","fashion","false","30","result","true","true","true","true","true","739","201","柔和微卷|中性轻狼尾|锁骨层次","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U006","明确换发需求者","feminine","short","short","fresh","true","20","result","true","true","true","true","true","738","201","自然侧分|轻纹理短碎|法式短波波","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U007","明确换发需求者","masculine","short","short","fresh","false","15","result","true","true","true","true","false","739","201","轻纹理短碎|自然侧分|法式短波波","三个方案有区别，但缺少正面/侧面和细节对比。"
"U008","明确换发需求者","masculine","medium","medium","professional","false","5","result","true","true","true","true","true","739","201","柔和微卷|中性轻狼尾|自然侧分","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U009","明确换发需求者","neutral","long","long","younger","true","30","result","true","true","true","true","false","739","201","空气刘海中长发|长发流线层次|柔和微卷","三个方案有区别，但缺少正面/侧面和细节对比。"
"U010","明确换发需求者","neutral","medium","medium","volume","true","30","result","true","true","true","true","false","739","201","柔和微卷|中性轻狼尾|长发流线层次","Mock叠加效果不像真实发型，无法据此做决定。"
"U011","明确换发需求者","neutral","medium","medium","fashion","false","20","result","true","true","true","true","false","706","201","柔和微卷|中性轻狼尾|锁骨层次","Mock叠加效果不像真实发型，无法据此做决定。"
"U012","明确换发需求者","neutral","short","short","younger","false","5","result","true","true","true","true","true","707","201","法式短波波|自然侧分|柔和微卷","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U013","明确换发需求者","feminine","long","long","younger","false","0","result","true","true","true","true","false","707","201","空气刘海中长发|长发流线层次|柔和微卷","我理解这是演示，但当前预览质量不足以让我选择。"
"U014","明确换发需求者","neutral","short","medium","younger","true","0","result","true","true","true","true","true","707","201","柔和微卷|锁骨层次|中性轻狼尾","流程顺畅，最有价值的是把模糊想法变成三个明确方向。"
"U015","明确换发需求者","feminine","short","short","younger","false","10","result","true","true","true","true","true","707","201","法式短波波|自然侧分|柔和微卷","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U016","明确换发需求者","feminine","long","long","younger","false","20","result","true","true","true","true","false","709","201","空气刘海中长发|长发流线层次|柔和微卷","我理解这是演示，但当前预览质量不足以让我选择。"
"U017","明确换发需求者","neutral","medium","medium","professional","false","10","result","true","true","true","true","false","710","201","柔和微卷|中性轻狼尾|自然侧分","三个方案有区别，但缺少正面/侧面和细节对比。"
"U018","明确换发需求者","masculine","long","long","professional","true","5","result","true","true","true","true","true","711","201","长发流线层次|自然侧分|空气刘海中长发","推荐理由和实现条件很实用，愿意拿给发型师讨论。"
"U019","明确换发需求者","masculine","short","short","professional","true","0","result","true","true","true","true","true","711","201","自然侧分|轻纹理短碎|法式短波波","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
"U020","明确换发需求者","feminine","short","long","fresh","false","5","result","true","true","true","true","false","712","201","空气刘海中长发|长发流线层次|自然侧分","Mock叠加效果不像真实发型，无法据此做决定。"
"U021","明确换发需求者","neutral","short","short","fresh","true","0","questionnaire","true","true","true","false","false","0","0","","问题不难，但我希望先浏览发型示例再填写条件。"
"U022","明确换发需求者","neutral","long","long","volume","true","30","result","true","true","true","true","false","706","201","长发流线层次|柔和微卷|中性轻狼尾","三个方案有区别，但缺少正面/侧面和细节对比。"
"U023","明确换发需求者","feminine","long","long","fresh","true","20","result","true","true","true","true","false","707","201","空气刘海中长发|长发流线层次|自然侧分","我理解这是演示，但当前预览质量不足以让我选择。"
"U024","明确换发需求者","masculine","long","long","fashion","true","20","result","true","true","true","true","true","707","201","长发流线层次|柔和微卷|中性轻狼尾","三种方向便于比较，但需要真实AI效果图才能判断是否可信。"
